,ResponseId,LanguageHaveWorkedWith
0,1,C++;HTML/CSS;JavaScript;Objective-C;PHP;Swift
1,2,JavaScript;Python
2,3,Assembly;C;Python;R;Rust
3,4,JavaScript;TypeScript
4,5,Bash/Shell;HTML/CSS;Python;SQL
5,6,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;Swift
6,7,HTML/CSS;JavaScript
7,8,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript
8,9,HTML/CSS;JavaScript
9,10,C++;Python
10,11,C#;TypeScript
11,12,Bash/Shell;HTML/CSS;JavaScript;Node.js;SQL;TypeScript
12,13,C;C++;Java;Perl;Ruby
13,14,C;C++;JavaScript;Python;R;SQL
14,15,JavaScript;SQL
15,16,Bash/Shell;Python
16,17,C#;HTML/CSS;Java;JavaScript;Node.js
17,18,Bash/Shell;HTML/CSS;JavaScript;PHP;Ruby;SQL
18,19,C++;Python
19,20,C;C++;HTML/CSS;JavaScript;Matlab;Node.js;PHP;Python;SQL;TypeScript
20,21,Java;Python
21,22,JavaScript;Python
22,23,C#;HTML/CSS;Python
23,24,JavaScript;Python
24,25,C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;TypeScript
25,26,HTML/CSS;Julia;Python;R;SQL
26,27,C++;Python
27,28,Python
28,29,Bash/Shell;Haskell;JavaScript;SQL;TypeScript
29,30,Delphi;Java;SQL
30,31,HTML/CSS;JavaScript;Node.js;Python;TypeScript
31,32,Bash/Shell;Go;Java;Node.js;Python;Scala;SQL
32,33,C++;HTML/CSS;JavaScript;PHP;SQL
33,34,Assembly;C;C#;C++;HTML/CSS;Java;JavaScript;Matlab;Node.js;SQL
34,35,Bash/Shell;C;C#;C++;Java
35,36,C;C++;Java;Python
36,37,Assembly;C;Java;Kotlin;Rust
37,38,Go
38,39,Bash/Shell;C#;Dart;HTML/CSS;JavaScript;TypeScript
39,40,C;C#;C++;HTML/CSS;JavaScript;Node.js;Python
40,41,C;C#;C++;Java;Kotlin;Python
41,42,Bash/Shell;C#;C++;Python
42,43,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;Scala;TypeScript
43,44,C;C#;C++;HTML/CSS;Java;JavaScript;Python;SQL
44,45,HTML/CSS;JavaScript;Node.js;Python;R;SQL;TypeScript
45,46,C#;C++;JavaScript;PowerShell;SQL;TypeScript
46,47,
47,48,Java
48,49,C++;SQL
49,50,C;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
50,51,C#;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript;VBA
51,52,C#;HTML/CSS;JavaScript;TypeScript
52,53,HTML/CSS;JavaScript;Node.js;Python;TypeScript
53,54,PowerShell
54,55,R
55,56,Bash/Shell;HTML/CSS;Java;Python;SQL;TypeScript
56,57,Java;Kotlin;Swift
57,58,C;C#;HTML/CSS;Java;JavaScript;PHP;SQL
58,59,Bash/Shell;HTML/CSS;JavaScript;Python;SQL
59,60,Bash/Shell;C;JavaScript;Python;SQL
60,61,HTML/CSS;JavaScript;Node.js;PHP;Python;SQL
61,62,Python;R;VBA
62,63,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;VBA
63,64,HTML/CSS;JavaScript;Node.js
64,65,HTML/CSS;JavaScript;Python
65,66,HTML/CSS;PHP;Python;SQL
66,67,HTML/CSS;Java;JavaScript;Matlab;Python;R;Scala;SQL
67,68,C#;VBA
68,69,Bash/Shell;JavaScript;Node.js;TypeScript
69,70,HTML/CSS;JavaScript;SQL;TypeScript
70,71,Bash/Shell;C;C++;Matlab;PowerShell;Python
71,72,Go;HTML/CSS;Java;JavaScript;SQL
72,73,HTML/CSS;JavaScript
73,74,Assembly;Bash/Shell;C;C#;PHP;PowerShell;Python;SQL
74,75,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
75,76,HTML/CSS;JavaScript;PHP
76,77,Bash/Shell;C#;Dart;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript
77,78,HTML/CSS;Python;R
78,79,Kotlin
79,80,C#;Go;Java;Python
80,81,HTML/CSS;JavaScript;Node.js
81,82,Bash/Shell;Java;JavaScript;PHP;Python
82,83,Dart;HTML/CSS;JavaScript;PHP;TypeScript
83,84,Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
84,85,Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript
85,86,C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;SQL;TypeScript
86,87,C#;SQL;TypeScript
87,88,Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python
88,89,C#;Clojure;Go;JavaScript;Python;SQL
89,90,C;C++;Java;JavaScript;Node.js;Python;R
90,91,JavaScript;Node.js;Python
91,92,Bash/Shell;C#;JavaScript;Node.js;PowerShell;Python;TypeScript
92,93,HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript
93,94,HTML/CSS;Objective-C;Swift
94,95,Perl
95,96,C#;HTML/CSS;Java;JavaScript;Node.js;SQL;TypeScript
96,97,Bash/Shell;Clojure;Haskell;Java;JavaScript;Kotlin;Python
97,98,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript
98,99,
99,100,Scala
100,101,Dart;JavaScript;Node.js
101,102,C#;HTML/CSS;JavaScript;PHP
102,103,Python
103,104,C++;Go;Python;TypeScript
104,105,HTML/CSS;JavaScript;PHP;SQL
105,106,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript
106,107,Go;JavaScript;Node.js;PHP;TypeScript
107,108,Java;JavaScript
108,109,HTML/CSS;Java;JavaScript;Node.js;Python;SQL
109,110,HTML/CSS;JavaScript;Python
110,111,Bash/Shell;C#;Dart;Go;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript
111,112,Assembly;C;C++
112,113,Dart;HTML/CSS;Python
113,114,Go;Java;Node.js;PHP;Python
114,115,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;VBA
115,116,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;Python
116,117,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript
117,118,HTML/CSS;JavaScript;Node.js
118,119,C#;HTML/CSS;JavaScript;SQL;VBA
119,120,HTML/CSS;JavaScript;Node.js;Python
120,121,Java;Kotlin;Swift
121,122,HTML/CSS;JavaScript;Node.js;Python;TypeScript
122,123,C;C#;C++;Dart;HTML/CSS;Java;JavaScript;PHP;Python
123,124,Python
124,125,Bash/Shell;Python
125,126,Kotlin;Objective-C;SQL;Swift
126,127,JavaScript;Node.js;PHP;PowerShell;Python;SQL
127,128,C;Dart;JavaScript
128,129,Bash/Shell;C#;HTML/CSS;JavaScript;TypeScript
129,130,C#;HTML/CSS;JavaScript;Node.js;PHP;PowerShell;SQL
130,131,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;PHP;Python
131,132,C#;PowerShell;SQL
132,133,C
133,134,APL;C;HTML/CSS;JavaScript;LISP
134,135,Go;JavaScript;Node.js
135,136,Bash/Shell;C;HTML/CSS;Java;JavaScript;Node.js;TypeScript
136,137,C#;Java;JavaScript;Python;SQL
137,138,HTML/CSS;JavaScript;R;SQL
138,139,Go;JavaScript;Python;SQL;TypeScript;VBA
139,140,C#;Delphi;JavaScript;Node.js;TypeScript
140,141,Assembly;Bash/Shell;C;HTML/CSS;Java;JavaScript;Perl;Python
141,142,C;C++;Python;SQL
142,143,JavaScript;Swift;TypeScript
143,144,C#;F#;SQL
144,145,Bash/Shell;Dart;Go;HTML/CSS;JavaScript;Python;Swift
145,146,Bash/Shell;C;Dart;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript
146,147,C++;Java;Kotlin;Objective-C;Swift
147,148,C++;Python
148,149,SQL
149,150,HTML/CSS;Java;JavaScript;Node.js;Rust
150,151,JavaScript;Node.js;PHP;TypeScript
151,152,C#;Java;Python
152,153,C#;HTML/CSS;PowerShell;SQL
153,154,Bash/Shell;C;C++;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;Scala;SQL;TypeScript
154,155,HTML/CSS;JavaScript;Node.js;PHP;PowerShell;Python;SQL
155,156,C++;HTML/CSS;JavaScript;Node.js;Perl;PHP;SQL
156,157,JavaScript;Python;SQL
157,158,C++;Go;JavaScript;Node.js;Python;TypeScript
158,159,HTML/CSS;Java;JavaScript;Python;Ruby;SQL
159,160,C#;HTML/CSS;JavaScript;PowerShell;TypeScript
