Directive,Meaning,Example,Notes
%a,Weekday as locale’s abbreviated name.,"Sun, Mon, …, Sat (en_US);",-1
,,"So, Mo, …, Sa (de_DE)",
%A,Weekday as locale’s full name.,"Sunday, Monday, …, Saturday (en_US);",-1
,,"Sonntag, Montag, …, Samstag (de_DE)",
%w,"Weekday as a decimal number, where 0 is Sunday and 6 is Saturday.","0, 1, …, 6",
%d,Day of the month as a zero-padded decimal number.,"01, 02, …, 31",-9
%b,Month as locale’s abbreviated name.,"Jan, Feb, …, Dec (en_US);",-1
,,"Jan, Feb, …, Dez (de_DE)",
%B,Month as locale’s full name.,"January, February, …, December (en_US);",-1
,,"Januar, Februar, …, Dezember (de_DE)",
%m,Month as a zero-padded decimal number.,"01, 02, …, 12",-9
%y,Year without century as a zero-padded decimal number.,"00, 01, …, 99",-9
%Y,Year with century as a decimal number.,"0001, 0002, …, 2013, 2014, …, 9998, 9999",-2
%H,Hour (24-hour clock) as a zero-padded decimal number.,"00, 01, …, 23",-9
%I,Hour (12-hour clock) as a zero-padded decimal number.,"01, 02, …, 12",-9
%p,Locale’s equivalent of either AM or PM.,"AM, PM (en_US);","(1), (3)"
,,"am, pm (de_DE)",
%M,Minute as a zero-padded decimal number.,"00, 01, …, 59",-9
%S,Second as a zero-padded decimal number.,"00, 01, …, 59","(4), (9)"
%f,"Microsecond as a decimal number, zero-padded to 6 digits.","000000, 000001, …, 999999",-5
%z,UTC offset in the form±HHMM[SS[.ffffff]] (empty string if the object is naive).,"(empty), +0000, -0400, +1030, +063415, -030712.345216",-6
%Z,Time zone name (empty string if the object is naive).,"(empty), UTC, GMT",-6
%j,Day of the year as a zero-padded decimal number.,"001, 002, …, 366",-9
%U,Week number of the year (Sunday as the first day of the week) as a zero-padded decimal number. All days in a new year preceding the first Sunday are considered to be in week 0.,"00, 01, …, 53","(7), (9)"
%W,Week number of the year (Monday as the first day of the week) as a zero-padded decimal number. All days in a new year preceding the first Monday are considered to be in week 0.,"00, 01, …, 53","(7), (9)"
%c,Locale’s appropriate date and time representation.,Tue Aug 16 21:30:00 1988 (en_US);,-1
,,Di 16 Aug 21:30:00 1988 (de_DE),
%x,Locale’s appropriate date representation.,08/16/88 (None);,-1
,,08/16/1988 (en_US);,
,,16.08.1988 (de_DE),
%X,Locale’s appropriate time representation.,21:30:00 (en_US);,-1
,,21:30:00 (de_DE),
%%,A literal '%' character.,%,
